code,country,cluster,model,anchor,cosine,std,baseline
NL,Netherlands,Substantive - Democracy,Machine-Translated BWE,Naïve,0.716683,0.013280042,0.716683
NO,Norway,Substantive - Democracy,Machine-Translated BWE,Naïve,0.72552836,0.02174779,0.72552836
PL,Poland,Substantive - Democracy,Machine-Translated BWE,Naïve,0.5614278,0.009968895,0.5614278
PT,Portugal,Substantive - Democracy,Machine-Translated BWE,Naïve,0.6525711,0.017847832,0.6525711
RS,Serbia,Substantive - Democracy,Machine-Translated BWE,Naïve,0.5714041,0.013230518,0.5714041
SE,Sweden,Substantive - Democracy,Machine-Translated BWE,Naïve,0.6368166,0.011329252,0.6368166
SI,Slovenia,Substantive - Democracy,Machine-Translated BWE,Naïve,0.59845614,0.016193302,0.59845614
TR,Turkey,Substantive - Democracy,Machine-Translated BWE,Naïve,0.56833494,0.01714769,0.56833494
UA,Ukraine,Substantive - Democracy,Machine-Translated BWE,Naïve,0.70338863,0.029057637,0.70338863
AT,Austria,Substantive - Rights,Machine-Translated BWE,Naïve,0.7287989,0.017309694,0.7287989
BA,Bosnia and Herzegovina,Substantive - Rights,Machine-Translated BWE,Naïve,0.6247918,0.047231827,0.6247918
BE,Belgium,Substantive - Rights,Machine-Translated BWE,Naïve,0.7034743,0.010721261,0.7034743
BG,Bulgaria,Substantive - Rights,Machine-Translated BWE,Naïve,0.6632022,0.019930156,0.6632022
CZ,Czech Republic,Substantive - Rights,Machine-Translated BWE,Naïve,0.6839778,0.024950659,0.6839778
DK,Denmark,Substantive - Rights,Machine-Translated BWE,Naïve,0.6875078,0.017089684,0.6875078
EE,Estonia,Substantive - Rights,Machine-Translated BWE,Naïve,0.67196846,0.015637394,0.67196846
ES,Spain,Substantive - Rights,Machine-Translated BWE,Naïve,0.6256149,0.025480077,0.6256149
FI,Finland,Substantive - Rights,Machine-Translated BWE,Naïve,0.6927601,0.016486151,0.6927601
FR,France,Substantive - Rights,Machine-Translated BWE,Naïve,0.66903454,0.019976947,0.66903454
GB,Great Britain,Substantive - Rights,Machine-Translated BWE,Naïve,0.69902396,0.009518121,0.69902396
GR,Greece,Substantive - Rights,Machine-Translated BWE,Naïve,0.6717932,0.020838056,0.6717932
HR,Croatia,Substantive - Rights,Machine-Translated BWE,Naïve,0.5928131,0.01947938,0.5928131
HU,Hungary,Substantive - Rights,Machine-Translated BWE,Naïve,0.5430159,0.018877888,0.5430159
IS,Iceland,Substantive - Rights,Machine-Translated BWE,Naïve,0.68760866,0.06258347,0.68760866
IT,Italy,Substantive - Rights,Machine-Translated BWE,Naïve,0.7608393,0.03786153,0.7608393
LV,Latvia,Substantive - Rights,Machine-Translated BWE,Naïve,0.61714005,0.029762551,0.61714005
NL,Netherlands,Substantive - Rights,Machine-Translated BWE,Naïve,0.6188918,0.008521942,0.6188918
NO,Norway,Substantive - Rights,Machine-Translated BWE,Naïve,0.71393734,0.019747324,0.71393734
PL,Poland,Substantive - Rights,Machine-Translated BWE,Naïve,0.58329225,0.013550424,0.58329225
PT,Portugal,Substantive - Rights,Machine-Translated BWE,Naïve,0.66285104,0.0266793,0.66285104
RS,Serbia,Substantive - Rights,Machine-Translated BWE,Naïve,0.6045094,0.013814559,0.6045094
